condition,seed,n_nodes,target,channel,lag_s,group,r2,nrmse
memoryless,7,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470584,0.07276097
memoryless,7,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394100,0.07783959
memoryless,7,48,Temp t-8s,Temp,8,mid 8 s,0.98968272,0.10157403
memoryless,7,48,Temp t-20s,Temp,20,slow 20-45 s,0.97409859,0.16093914
memoryless,7,48,Temp t-45s,Temp,45,slow 20-45 s,0.93675681,0.25148198
memoryless,7,48,HR t-1s,HR,1,fast 1-3 s,0.94976007,0.22414266
memoryless,7,48,HR t-3s,HR,3,fast 1-3 s,0.77042892,0.47913576
memoryless,7,48,HR t-8s,HR,8,mid 8 s,0.69129345,0.55561367
memoryless,7,48,HR t-20s,HR,20,slow 20-45 s,0.61058359,0.62403238
memoryless,7,48,HR t-45s,HR,45,slow 20-45 s,0.56437658,0.66001774
memoryless,8,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857574,0.03773938
memoryless,8,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685366,0.05609225
memoryless,8,48,EDA t-8s,EDA,8,mid 8 s,0.99400141,0.07745059
memoryless,8,48,EDA t-20s,EDA,20,slow 20-45 s,0.98680361,0.11487554
memoryless,8,48,EDA t-45s,EDA,45,slow 20-45 s,0.96458421,0.18819084
memoryless,8,48,Resp t-1s,Resp,1,fast 1-3 s,0.02776261,0.98602099
memoryless,8,48,Resp t-3s,Resp,3,fast 1-3 s,0.03461716,0.98253898
memoryless,8,48,Resp t-8s,Resp,8,mid 8 s,-0.00766045,1.00382292
memoryless,8,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00168321,1.00084125
memoryless,8,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00323417,1.00161578
memoryless,8,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470655,0.07275609
memoryless,8,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394379,0.07782166
memoryless,8,48,Temp t-8s,Temp,8,mid 8 s,0.98968680,0.10155391
memoryless,8,48,Temp t-20s,Temp,20,slow 20-45 s,0.97403382,0.16114024
memoryless,8,48,Temp t-45s,Temp,45,slow 20-45 s,0.93623253,0.25252221
memoryless,8,48,HR t-1s,HR,1,fast 1-3 s,0.95020788,0.22314147
memoryless,8,48,HR t-3s,HR,3,fast 1-3 s,0.77120392,0.47832634
memoryless,8,48,HR t-8s,HR,8,mid 8 s,0.69191338,0.55505551
memoryless,8,48,HR t-20s,HR,20,slow 20-45 s,0.61123890,0.62350710
memoryless,8,48,HR t-45s,HR,45,slow 20-45 s,0.56531192,0.65930879
memoryless,9,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857592,0.03773696
memoryless,9,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685392,0.05608995
memoryless,9,48,EDA t-8s,EDA,8,mid 8 s,0.99400167,0.07744887
memoryless,9,48,EDA t-20s,EDA,20,slow 20-45 s,0.98681923,0.11480752
memoryless,9,48,EDA t-45s,EDA,45,slow 20-45 s,0.96459235,0.18816922
memoryless,9,48,Resp t-1s,Resp,1,fast 1-3 s,0.02883622,0.98547642
memoryless,9,48,Resp t-3s,Resp,3,fast 1-3 s,0.04011233,0.97973857
memoryless,9,48,Resp t-8s,Resp,8,mid 8 s,-0.00680964,1.00339904
memoryless,9,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00228857,1.00114363
