device_id,host,cation,components,peo_mass_fraction,salt_mass_fraction,electrode,date,speed_rpm,anneal_C,n_pix_hyst,n_pix_npulse,n_pix_delay,n_flagged
NM_v155,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2023-03,3400,75.0,3,1,1,0
NM_v173,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2023-07,1500,75.0,2,0,0,0
NM_v174,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2023-07,2250,75.0,2,0,0,0
NM_v175,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2023-07,3000,75.0,2,0,0,0
NM_v229,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,1500,75.0,0,0,0,0
NM_v230,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,1800,75.0,0,0,0,0
NM_v231,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,2100,75.0,0,0,0,0
NM_v232,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,2400,75.0,0,0,0,0
NM_v233,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,2700,75.0,0,0,0,0
NM_v234,PEO,Li,"SY, PEO, LiTr",1.2,0.09,,2023-09,3000,75.0,0,0,0,0
NM_v243,PEO,Li,"SY, PEO, LiTr",1.2,0.09,Ag,2023-10,2900,75.0,2,1,1,0
NM_v145,PEO,Li,"SY, PEO, LiTr",1.2,0.18,Ag,2022-11,2000,75.0,4,1,1,1
NM_v157,PEO,Li,"SY, PEO, LiTr",1.2,0.18,Ag,2023-03,3500,75.0,5,1,1,2
NM_v211,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,1500,75.0,0,0,0,0
NM_v212,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,1800,75.0,0,0,0,0
NM_v213,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,2100,75.0,0,0,0,0
NM_v214,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,2400,75.0,0,0,0,0
NM_v215,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,2700,75.0,0,0,0,0
NM_v216,PEO,Li,"SY, PEO, LiTr",1.2,0.18,,2023-09,3000,75.0,0,0,0,0
NM_v246,PEO,Li,"SY, PEO, LiTr",1.2,0.18,Ag,2023-10,3000,75.0,2,1,1,0
NM_v115,PEO,Na,"SY, PEO, NaTr",0.3,0.09,Ag,2022-05,2000,75.0,6,1,1,6
NM_v127,PEO,Na,"SY, PEO, NaTr",0.3,0.09,,2022-09,2000,75.0,0,0,0,0
NM_v248,PEO,Na,"SY, PEO, NaTr",0.3,0.09,Ag,2023-10,2000,75.0,4,1,1,0
